"Game ID: ","1"
"Sherman12","5","Chris20","3"
"Jeffrey1","7","Alex2","3"
"Ryan18","5","Jonathan5","9"
"Danny19","9","Joeseph9","7"
"Jose15","8","Marcus17","4"
"Jessica10","7","Michael7","8"
"Martin16","6","Vivien3","8"
"Score","1",,"0"
""
"Game ID: ","2"
"Karen13","7","Ryan18","5"
"Sherman12","5","Max14","5"
"Chris20","3","Michael7","8"
"Khoman 6","6","Marcus17","4"
"Vivien3","8","Joeseph9","7"
"Jonathan5","9","Jose15","8"
"John4","4","Danny19","9"
"Score","0",,"1"
""
"Game ID: ","3"
"Sherman12","5","Max14","5"
"Michael7","8","Tom11","3"
"Martin16","6","Ryan18","5"
"Jose15","8","Jonathan5","9"
"Jeffrey1","7","Chris20","3"
"Joeseph9","7","Marcus17","4"
"Jessica10","7","Khoman 6","6"
"Karen13","7","Frank8","9"
"Score","3",,"0"
""
"Game ID: ","4"
"Max14","5","Alex2","3"
"Khoman 6","6","Jessica10","7"
"Jonathan5","9","Tom11","3"
"Ryan18","5","Sherman12","5"
"Joeseph9","7","Frank8","9"
"John4","4","Karen13","7"
"Score","1",,"0"
""
"Game ID: ","5"
"Karen13","7","Alex2","3"
"Chris20","3","Max14","5"
"Ryan18","5","Joeseph9","7"
"Jose15","8","John4","4"
"Jessica10","7","Tom11","3"
"Sherman12","5","Jeffrey1","7"
"Jonathan5","9","Michael7","8"
"Martin16","6","Marcus17","4"
"Score","2",,"0"
""
"Game ID: ","6"
"Ryan18","5","Khoman 6","6"
"Vivien3","8","Max14","5"
"Jessica10","7","Sherman12","5"
"Jose15","8","Chris20","3"
"Score","5",,"0"
""
"Game ID: ","7"
"Tom11","3","Jose15","8"
"Michael7","8","Chris20","3"
"Khoman 6","6","Danny19","9"
"Sherman12","5","Martin16","6"
"Ryan18","5","Jonathan5","9"
"Max14","5","Marcus17","4"
"Vivien3","8","Frank8","9"
"Score","0",,"2"
""
"Game ID: ","8"
"Chris20","3","Karen13","7"
"Ryan18","5","Khoman 6","6"
"Joeseph9","7","Jessica10","7"
"Sherman12","5","Jose15","8"
"Jeffrey1","7","John4","4"
"Frank8","9","Martin16","6"
"Max14","5","Jonathan5","9"
"Score","0",,"2"
""
"Game ID: ","9"
"Jessica10","7","Vivien3","8"
"Danny19","9","Joeseph9","7"
"Jose15","8","Martin16","6"
"Alex2","3","Max14","5"
"John4","4","Karen13","7"
"Chris20","3","Sherman12","5"
"Khoman 6","6","Marcus17","4"
"Tom11","3","Jonathan5","9"
"Score","0",,"2"
""
"Game ID: ","10"
"John4","4","Jose15","8"
"Danny19","9","Karen13","7"
"Tom11","3","Ryan18","5"
"Jeffrey1","7","Alex2","3"
"Jonathan5","9","Frank8","9"
"Marcus17","4","Vivien3","8"
"Joeseph9","7","Max14","5"
"Score","0",,"1"
""
"Game ID: ","11"
"Marcus17","4","Ryan18","5"
"Michael7","8","Jessica10","7"
"Jonathan5","9","Martin16","6"
"Frank8","9","Alex2","3"
"Max14","5","Jeffrey1","7"
"Jose15","8","Sherman12","5"
"Karen13","7","Chris20","3"
"John4","4","Vivien3","8"
"Score","3",,"0"
""
"Game ID: ","12"
"Khoman 6","6","Ryan18","5"
"Sherman12","5","Tom11","3"
"Vivien3","8","Michael7","8"
"Jessica10","7","Karen13","7"
"Chris20","3","Frank8","9"
"Jeffrey1","7","Marcus17","4"
"Score","0",,"0"
""
"Game ID: ","13"
"Sherman12","5","Ryan18","5"
"Jonathan5","9","Vivien3","8"
"Jessica10","7","Martin16","6"
"Frank8","9","Alex2","3"
"Score","4",,"0"
""
"Game ID: ","14"
"Vivien3","8","Khoman 6","6"
"Alex2","3","Danny19","9"
"John4","4","Max14","5"
"Marcus17","4","Jeffrey1","7"
"Sherman12","5","Jonathan5","9"
"Score","0",,"5"
""
"Game ID: ","15"
"Alex2","3","Sherman12","5"
"Michael7","8","Jessica10","7"
"Max14","5","Karen13","7"
"Vivien3","8","Marcus17","4"
"Jeffrey1","7","Jose15","8"
"Jonathan5","9","Chris20","3"
"Khoman 6","6","Frank8","9"
"Score","1",,"0"
""
"Game ID: ","16"
"Michael7","8","Joeseph9","7"
"Sherman12","5","Ryan18","5"
"Khoman 6","6","Tom11","3"
"Jeffrey1","7","Chris20","3"
"Marcus17","4","Karen13","7"
"Alex2","3","John4","4"
"Vivien3","8","Danny19","9"
"Score","1",,"0"
""
"Game ID: ","17"
"Tom11","3","Jessica10","7"
"Karen13","7","Sherman12","5"
"Martin16","6","Jonathan5","9"
"Khoman 6","6","Ryan18","5"
"Score","0",,"2"
""
"Game ID: ","18"
"Karen13","7","Michael7","8"
"Max14","5","Joeseph9","7"
"Sherman12","5","Martin16","6"
"John4","4","Jeffrey1","7"
"Khoman 6","6","Ryan18","5"
"Danny19","9","Jessica10","7"
"Vivien3","8","Chris20","3"
"Alex2","3","Tom11","3"
"Score","0",,"0"
""
"Game ID: ","19"
"Jonathan5","9","Jose15","8"
"Max14","5","Michael7","8"
"Joeseph9","7","Jeffrey1","7"
"Alex2","3","Jessica10","7"
"Score","0",,"3"
""
"Game ID: ","20"
"Joeseph9","7","Jeffrey1","7"
"Chris20","3","Ryan18","5"
"Michael7","8","Max14","5"
"Martin16","6","Alex2","3"
"Tom11","3","Karen13","7"
"Sherman12","5","Jose15","8"
"Jonathan5","9","Vivien3","8"
"John4","4","Khoman 6","6"
"Score","0",,"1"
""
"Game ID: ","21"
"Marcus17","4","Jonathan5","9"
"Alex2","3","Max14","5"
"Khoman 6","6","Jeffrey1","7"
"John4","4","Joeseph9","7"
"Frank8","9","Michael7","8"
"Score","0",,"4"
""
"Game ID: ","22"
"Karen13","7","Sherman12","5"
"Danny19","9","Tom11","3"
"Frank8","9","Jessica10","7"
"John4","4","Alex2","3"
"Jeffrey1","7","Khoman 6","6"
"Michael7","8","Vivien3","8"
"Ryan18","5","Max14","5"
"Chris20","3","Jonathan5","9"
"Score","2",,"0"
""
"Game ID: ","23"
"Sherman12","5","Jonathan5","9"
"John4","4","Alex2","3"
"Joeseph9","7","Jose15","8"
"Tom11","3","Ryan18","5"
"Karen13","7","Jeffrey1","7"
"Score","0",,"2"
""
"Game ID: ","24"
"Karen13","7","Chris20","3"
"Marcus17","4","Michael7","8"
"Tom11","3","Alex2","3"
"Jessica10","7","Vivien3","8"
"Danny19","9","John4","4"
"Max14","5","Martin16","6"
"Score","1",,"0"
""
"Game ID: ","25"
"Martin16","6","Vivien3","8"
"Karen13","7","Jonathan5","9"
"Jose15","8","Jeffrey1","7"
"Marcus17","4","Chris20","3"
"Sherman12","5","Joeseph9","7"
"Jessica10","7","Khoman 6","6"
"Score","0",,"1"
""
"Game ID: ","26"
"Ryan18","5","Jessica10","7"
"Jonathan5","9","John4","4"
"Max14","5","Michael7","8"
"Jeffrey1","7","Frank8","9"
"Martin16","6","Danny19","9"
"Sherman12","5","Vivien3","8"
"Score","0",,"3"
""
"Game ID: ","27"
"Danny19","9","Alex2","3"
"Jessica10","7","Max14","5"
"Sherman12","5","Joeseph9","7"
"Frank8","9","Jonathan5","9"
"Michael7","8","Tom11","3"
"Khoman 6","6","Marcus17","4"
"Jose15","8","Vivien3","8"
"Score","4",,"0"
""
"Game ID: ","28"
"Joeseph9","7","Martin16","6"
"Jose15","8","Jessica10","7"
